,srprec_orig,hh_med_inc_wgt
947,54123,147699.0
948,54141,145887.69999999998
949,54142,144968.14
950,54144,168050.89
951,54161,166848.0
952,54180,74363.81
953,54181,83125.0
954,54183,197678.27
955,54184,200455.0
956,54185,83125.0
957,54701,130000.0
958,54702,120103.0
959,56065,124235.61
960,56066,91809.0
961,56069,87259.11
962,56070,91209.0
963,56071,87493.14
964,56072,121315.31
965,56073,91674.66
966,56078,79770.0
967,56079,147593.0
968,56081,96883.0
969,56090,122538.0
970,56093,96883.0
971,56094,96883.0
972,56095,112969.0
973,56096,56612.0
974,56101,122538.0
975,56102,73659.2
976,56109,130833.0
977,56277,126786.71
978,56278,129471.69
979,56279,122419.0
980,56282,146005.0
981,56286,146005.0
982,56287,134659.0
983,56288,146005.0
984,56290,85938.0
985,56292,97266.0
986,56293,106959.26999999999
987,56294,97266.0
988,56295,84646.0
989,56296,85938.0
990,56301,66944.0
991,56303,146005.0
992,56308,147593.0
993,56315,66944.0
994,56382,70819.61
995,57002,70644.0
996,57007,93365.0
997,58107,106075.08
998,58108,101823.85
999,58109,113266.0
1000,58111,86867.0
1001,58114,89057.83
1002,58118,113266.0
1003,58121,94284.67
1004,58127,88651.0
1005,58299,121852.0
1006,58314,108884.0
1007,58317,114512.82
1008,58319,114244.04999999999
1009,58324,106314.57
1010,58325,89663.0
1011,58327,92464.0
1012,58330,110387.06
1013,58332,92464.0
1014,58350,120000.0
1015,58354,119685.85
1016,58355,120634.31
1017,58356,80926.0
1018,58357,85464.0
1019,58371,89348.0
1020,58372,138272.0
1021,58373,109974.36
1022,58374,122835.27
1023,58376,85464.0
1024,58378,108884.0
1025,59006,97067.12
1026,59007,85238.59
1027,59009,51734.82000000001
1028,59015,120104.0
1029,59016,125874.69
1030,59018,140251.38
1031,59019,39135.0
1032,59020,103167.0
1033,59021,101370.0
1034,59022,122563.0
1035,59026,110919.0
1036,59027,120104.0
1037,59033,137650.0
1038,59034,105333.0
1039,59036,102106.35
1040,59037,96563.0
1041,59038,119964.64
1042,59039,101863.0
1043,59041,97614.0
1044,59042,97321.0
1045,59043,96563.0
1046,59044,137650.0
1047,59045,119896.0
1048,59047,101636.0
1049,59054,99768.81999999999
1050,59055,94233.0
1051,59057,42101.76
1052,59058,39135.0
1053,59062,95502.0
1054,59072,97614.0
1055,59074,51421.39
1056,59075,100968.85
1057,59079,101636.0
1058,59081,96563.0
1059,59082,123912.76
1060,59088,135148.0
1061,59090,106540.0
1062,59092,101370.0
1063,59097,108272.77
1064,59099,80213.0
1065,59100,126700.97
1066,59101,80901.76000000001
1067,59103,88600.25
1068,59106,96375.59
1069,59108,80213.0
1070,59111,120104.0
1071,59113,39135.0
1072,59118,70771.0
1073,59124,110919.0
1074,59127,117165.0
1075,59129,137538.0
1076,59130,135148.0
1077,59131,95089.0
1078,59132,135148.0
1079,59133,39135.0
1080,59136,137538.0
1081,59137,137538.0
1082,59141,135148.0
1083,59144,130148.47
1084,59146,95502.0
1085,59148,135148.0
1086,59149,95502.0
1087,59150,99323.25
1088,59151,122419.0
1089,59153,85273.0
1090,59158,39135.0
1091,59163,135148.0
1092,59164,135148.0
1093,59168,95502.0
1094,59169,122419.0
1095,59170,80213.0
1096,59172,108832.0
1097,59175,122419.0
1098,59176,91585.0
1099,59205,91585.0
1100,59206,135148.0
1101,59207,66944.0
1102,59208,108832.0
1103,59211,97614.0
1104,59702,95501.7
1105,59703,97614.0
1106,62081,84470.0
1107,63001,109722.0
1108,63002,76906.0
1109,63005,67038.66
1110,63009,86696.0
1111,63018,122188.0
1112,63019,72345.47
1113,63027,109779.52
1114,63028,90574.55
1115,63032,55662.21
1116,63034,64445.0
1117,63036,68926.53
1118,63038,77488.97
1119,63039,78777.0
1120,63041,97589.0
1121,63043,64610.0
1122,63046,64610.0
1123,63049,64610.0
1124,63051,84769.0
1125,63052,151731.0
1126,63053,84769.0
1127,63055,68769.0
1128,63056,82639.12000000001
1129,63068,84470.0
1130,63069,79135.0
1131,63071,92841.81
1132,63079,154375.0
1133,63088,140021.61
1134,63097,109500.0
1135,63202,97589.0
1136,63204,97589.0
1137,63206,121477.0
1138,63207,121477.0
1139,63208,121477.0
1140,63210,138307.62
1141,63211,121477.0
1142,63212,121477.0
1143,63213,121477.0
1144,63214,121477.0
1145,63216,122148.78
1146,63219,122188.0
1147,63220,91574.0
1148,63222,79135.0
1149,63223,154375.0
1150,63224,154375.0
1151,63226,154375.0
1152,63227,154375.0
1153,63228,121477.0
1154,63231,154375.0
1155,63236,121667.0
1156,63238,121477.0
1157,63262,111884.58
1158,63347,154375.0
1159,63352,130088.69
1160,63358,97589.0
1161,63361,118250.0
1162,63362,118250.0
1163,63369,68769.0
1164,63372,76906.0
1165,63373,64610.0
1166,63374,55353.43
1167,63375,76893.7
1168,63377,130438.0
1169,63383,130438.0
1170,63390,123786.0
1171,63701,144597.48
1172,63705,139438.55
1173,63706,121477.0
1174,63707,88946.98999999999
1175,63708,74877.51999999999
1176,63710,76850.04000000001
1177,63711,72388.57
1178,63712,70781.0
1179,63713,122398.51000000001
1180,63715,92366.82
1181,65055,154375.0
1182,65081,122215.20000000001
1183,65087,82165.14
1184,65091,79135.0
1185,67113,170754.0
1186,67114,168569.11000000002
1187,67115,156146.0
1188,67116,169706.0
1189,67117,141981.66999999998
1190,67118,165673.34
1191,67120,156146.0
1192,67121,169706.0
1193,68043,57135.0
1194,68044,57135.0
1195,68050,49205.0
1196,68052,40922.840000000004
1197,68053,67262.0
1198,68057,71127.53
1199,68058,66389.0
1200,68059,57489.0
1201,68061,59349.08
1202,68070,79922.52
1203,68073,83105.26000000001
1204,68074,70141.0
1205,68076,70141.0
1206,68077,53288.0
1207,68078,69911.0
1208,68083,56278.479999999996
1209,68086,41119.61
1210,68091,70893.81
1211,68094,46071.0
1212,68098,56062.33
1213,68099,35652.8
1214,68100,58884.43
1215,68103,56128.43
1216,68106,58438.89
1217,68107,72826.0
1218,68115,66597.0
1219,68119,58261.0
1220,68123,64643.0
1221,68128,84376.95
1222,68130,88068.0
1223,68131,86765.0
1224,68133,86765.0
1225,68135,74112.96
1226,68138,74896.0
1227,68156,64443.88
1228,68158,70815.95
1229,68162,57841.0
1230,68166,46347.87
1231,68167,64610.0
1232,68177,75087.76
1233,68179,73587.0
1234,68180,61119.0
1235,68181,61074.92
1236,68183,78077.0
1237,68185,54206.05
1238,68188,59745.66
1239,68194,52782.25
1240,68195,60475.0
1241,68196,60475.0
1242,68197,74063.0
1243,68273,95764.0
1244,68279,67262.0
1245,68283,77687.01
1246,68296,38616.05
1247,68297,54302.0
1248,68302,50102.0
1249,68305,42204.0
1250,68306,41179.66
1251,68311,93365.0
1252,68315,90828.12
1253,68316,84516.55
1254,68318,84231.2
1255,68319,76055.4
1256,68324,74035.41
1257,68330,62457.0
1258,68334,71522.32999999999
1259,68335,80213.0
1260,68336,75259.51999999999
1261,68339,62083.0
1262,68350,64698.0
1263,68364,72695.0
1264,68365,78809.48999999999
1265,68367,74629.0
1266,68369,90413.63
1267,68371,83563.79999999999
1268,68701,89695.59
1269,68702,102843.40999999999
1270,69106,147220.94
1271,69110,130774.55
1272,69111,138289.0
1273,69122,170754.0
1274,69123,161406.0
1275,69701,138352.04000000004
1276,70087,103056.0
1277,70089,103056.0
1278,70112,122419.0
1279,70117,122419.0
1280,70118,125887.0
1281,71120,70757.64
1282,71121,45690.0
1283,71231,71707.0
1284,71232,66875.0
1285,71239,70962.36
1286,71240,74501.76
1287,71245,108929.0
1288,71253,157614.0
1289,71256,119802.0
1290,71258,85907.0
1291,71262,104571.52
1292,71263,181985.0
1293,71264,128691.29999999999
1294,71266,158825.22999999998
1295,71269,103681.0
